Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Training start...
Train Epoch: 5 [20480/49000 (42%)]	Train Loss: 2.070272	Val Loss: 2.108897	Val Acc: 35
Train Epoch: 5 [21760/49000 (44%)]	Train Loss: 2.146311	Val Loss: 2.128214	Val Acc: 33
Train Epoch: 5 [23040/49000 (47%)]	Train Loss: 2.199501	Val Loss: 2.095996	Val Acc: 36
Train Epoch: 5 [24320/49000 (50%)]	Train Loss: 2.105306	Val Loss: 2.126599	Val Acc: 33
Train Epoch: 5 [25600/49000 (52%)]	Train Loss: 2.107728	Val Loss: 2.112340	Val Acc: 35
Train Epoch: 5 [26880/49000 (55%)]	Train Loss: 2.142313	Val Loss: 2.116860	Val Acc: 34
Train Epoch: 5 [28160/49000 (57%)]	Train Loss: 2.140115	Val Loss: 2.135607	Val Acc: 32
Train Epoch: 5 [29440/49000 (60%)]	Train Loss: 2.179711	Val Loss: 2.131095	Val Acc: 32
Train Epoch: 5 [30720/49000 (63%)]	Train Loss: 2.161542	Val Loss: 2.118750	Val Acc: 34
Train Epoch: 5 [32000/49000 (65%)]	Train Loss: 2.105639	Val Loss: 2.121635	Val Acc: 33
Train Epoch: 5 [33280/49000 (68%)]	Train Loss: 2.062093	Val Loss: 2.127342	Val Acc: 33
Train Epoch: 5 [34560/49000 (70%)]	Train Loss: 2.195948	Val Loss: 2.139166	Val Acc: 31
Train Epoch: 5 [35840/49000 (73%)]	Train Loss: 2.078315	Val Loss: 2.117896	Val Acc: 34
Train Epoch: 5 [37120/49000 (76%)]	Train Loss: 2.180851	Val Loss: 2.131433	Val Acc: 32
Train Epoch: 5 [38400/49000 (78%)]	Train Loss: 2.124400	Val Loss: 2.115606	Val Acc: 34
Train Epoch: 5 [39680/49000 (81%)]	Train Loss: 2.157205	Val Loss: 2.114948	Val Acc: 34
Train Epoch: 5 [40960/49000 (84%)]	Train Loss: 2.102078	Val Loss: 2.095094	Val Acc: 36
Train Epoch: 5 [42240/49000 (86%)]	Train Loss: 2.038406	Val Loss: 2.119453	Val Acc: 34
Train Epoch: 5 [43520/49000 (89%)]	Train Loss: 2.149299	Val Loss: 2.101989	Val Acc: 35
Train Epoch: 5 [44800/49000 (91%)]	Train Loss: 2.098326	Val Loss: 2.132832	Val Acc: 32
Train Epoch: 5 [46080/49000 (94%)]	Train Loss: 2.079309	Val Loss: 2.117080	Val Acc: 34
Train Epoch: 5 [47360/49000 (97%)]	Train Loss: 2.077881	Val Loss: 2.129671	Val Acc: 32
Train Epoch: 5 [48640/49000 (99%)]	Train Loss: 2.131658	Val Loss: 2.129196	Val Acc: 32
Train Epoch: 6 [0/49000 (0%)]	Train Loss: 2.163962	Val Loss: 2.126792	Val Acc: 33
Train Epoch: 6 [1280/49000 (3%)]	Train Loss: 2.032193	Val Loss: 2.121363	Val Acc: 33
Train Epoch: 6 [2560/49000 (5%)]	Train Loss: 2.139835	Val Loss: 2.114043	Val Acc: 34
Train Epoch: 6 [3840/49000 (8%)]	Train Loss: 2.149583	Val Loss: 2.117388	Val Acc: 34
Train Epoch: 6 [5120/49000 (10%)]	Train Loss: 2.120127	Val Loss: 2.107977	Val Acc: 35
Train Epoch: 6 [6400/49000 (13%)]	Train Loss: 2.115559	Val Loss: 2.104507	Val Acc: 35
Train Epoch: 6 [7680/49000 (16%)]	Train Loss: 2.080786	Val Loss: 2.101302	Val Acc: 35
Train Epoch: 6 [8960/49000 (18%)]	Train Loss: 2.101075	Val Loss: 2.119020	Val Acc: 34
Train Epoch: 6 [10240/49000 (21%)]	Train Loss: 2.100437	Val Loss: 2.103745	Val Acc: 35
Train Epoch: 6 [11520/49000 (23%)]	Train Loss: 2.150624	Val Loss: 2.107261	Val Acc: 35
Train Epoch: 6 [12800/49000 (26%)]	Train Loss: 2.140901	Val Loss: 2.090868	Val Acc: 36
Train Epoch: 6 [14080/49000 (29%)]	Train Loss: 2.085535	Val Loss: 2.093874	Val Acc: 36
Train Epoch: 6 [15360/49000 (31%)]	Train Loss: 2.098668	Val Loss: 2.118190	Val Acc: 34
Train Epoch: 6 [16640/49000 (34%)]	Train Loss: 2.091709	Val Loss: 2.114357	Val Acc: 34
