Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Training start...
Train Epoch: 1 [7040/49000 (14%)]	Train Loss: 1.188461	Val Loss: 1.286168	Val Acc: 55
Train Epoch: 1 [7680/49000 (16%)]	Train Loss: 1.283164	Val Loss: 1.377351	Val Acc: 53
Train Epoch: 1 [8320/49000 (17%)]	Train Loss: 1.434360	Val Loss: 1.321111	Val Acc: 55
Train Epoch: 1 [8960/49000 (18%)]	Train Loss: 0.980174	Val Loss: 1.358674	Val Acc: 53
Train Epoch: 1 [9600/49000 (20%)]	Train Loss: 1.582034	Val Loss: 1.156619	Val Acc: 59
Train Epoch: 1 [10240/49000 (21%)]	Train Loss: 1.478799	Val Loss: 1.261385	Val Acc: 57
Train Epoch: 1 [10880/49000 (22%)]	Train Loss: 1.244356	Val Loss: 1.282951	Val Acc: 55
Train Epoch: 1 [11520/49000 (23%)]	Train Loss: 1.209328	Val Loss: 1.407919	Val Acc: 50
Train Epoch: 1 [12160/49000 (25%)]	Train Loss: 0.977432	Val Loss: 1.541476	Val Acc: 50
Train Epoch: 1 [12800/49000 (26%)]	Train Loss: 1.161552	Val Loss: 1.341327	Val Acc: 53
Train Epoch: 1 [13440/49000 (27%)]	Train Loss: 1.380024	Val Loss: 1.299757	Val Acc: 56
Train Epoch: 1 [14080/49000 (29%)]	Train Loss: 1.568488	Val Loss: 1.388521	Val Acc: 52
Train Epoch: 1 [14720/49000 (30%)]	Train Loss: 1.128256	Val Loss: 1.319737	Val Acc: 52
Train Epoch: 1 [15360/49000 (31%)]	Train Loss: 1.477552	Val Loss: 1.320479	Val Acc: 53
Train Epoch: 1 [16000/49000 (33%)]	Train Loss: 1.320189	Val Loss: 1.373371	Val Acc: 54
Train Epoch: 1 [16640/49000 (34%)]	Train Loss: 1.225654	Val Loss: 1.305276	Val Acc: 57
Train Epoch: 1 [17280/49000 (35%)]	Train Loss: 1.276650	Val Loss: 1.378210	Val Acc: 51
Train Epoch: 1 [17920/49000 (37%)]	Train Loss: 1.244070	Val Loss: 1.333277	Val Acc: 54
Train Epoch: 1 [18560/49000 (38%)]	Train Loss: 1.273797	Val Loss: 1.298578	Val Acc: 55
Train Epoch: 1 [19200/49000 (39%)]	Train Loss: 1.175975	Val Loss: 1.186854	Val Acc: 56
Train Epoch: 1 [19840/49000 (40%)]	Train Loss: 1.450925	Val Loss: 1.258717	Val Acc: 55
Train Epoch: 1 [20480/49000 (42%)]	Train Loss: 1.353027	Val Loss: 1.457826	Val Acc: 46
Train Epoch: 1 [21120/49000 (43%)]	Train Loss: 1.287271	Val Loss: 1.378026	Val Acc: 55
Train Epoch: 1 [21760/49000 (44%)]	Train Loss: 1.194642	Val Loss: 1.328018	Val Acc: 53
Train Epoch: 1 [22400/49000 (46%)]	Train Loss: 1.203206	Val Loss: 1.425948	Val Acc: 54
Train Epoch: 1 [23040/49000 (47%)]	Train Loss: 1.189061	Val Loss: 1.311014	Val Acc: 54
Train Epoch: 1 [23680/49000 (48%)]	Train Loss: 1.154544	Val Loss: 1.339377	Val Acc: 57
Train Epoch: 1 [24320/49000 (50%)]	Train Loss: 1.299205	Val Loss: 1.461338	Val Acc: 50
Train Epoch: 1 [24960/49000 (51%)]	Train Loss: 1.449845	Val Loss: 1.401787	Val Acc: 52
Train Epoch: 1 [25600/49000 (52%)]	Train Loss: 1.207201	Val Loss: 1.432210	Val Acc: 47
Train Epoch: 1 [26240/49000 (54%)]	Train Loss: 1.414138	Val Loss: 1.283253	Val Acc: 53
Train Epoch: 1 [26880/49000 (55%)]	Train Loss: 1.328379	Val Loss: 1.306472	Val Acc: 54
Train Epoch: 1 [27520/49000 (56%)]	Train Loss: 1.292026	Val Loss: 1.331027	Val Acc: 53
Train Epoch: 1 [28160/49000 (57%)]	Train Loss: 1.353798	Val Loss: 1.305243	Val Acc: 53
Train Epoch: 1 [28800/49000 (59%)]	Train Loss: 1.377326	Val Loss: 1.295113	Val Acc: 55
Train Epoch: 1 [29440/49000 (60%)]	Train Loss: 1.342537	Val Loss: 1.365247	Val Acc: 54
Train Epoch: 1 [30080/49000 (61%)]	Train Loss: 1.329352	Val Loss: 1.323297	Val Acc: 53
Train Epoch: 1 [30720/49000 (63%)]	Train Loss: 1.108596	Val Loss: 1.342707	Val Acc: 53
Train Epoch: 1 [31360/49000 (64%)]	Train Loss: 1.225467	Val Loss: 1.209329	Val Acc: 59
Train Epoch: 1 [32000/49000 (65%)]	Train Loss: 1.414945	Val Loss: 1.321443	Val Acc: 55
Train Epoch: 1 [32640/49000 (67%)]	Train Loss: 1.548153	Val Loss: 1.287143	Val Acc: 53
Train Epoch: 1 [33280/49000 (68%)]	Train Loss: 1.429081	Val Loss: 1.286750	Val Acc: 54
Train Epoch: 1 [33920/49000 (69%)]	Train Loss: 1.321336	Val Loss: 1.297546	Val Acc: 51
Train Epoch: 1 [34560/49000 (70%)]	Train Loss: 1.538777	Val Loss: 1.260467	Val Acc: 55
Train Epoch: 1 [35200/49000 (72%)]	Train Loss: 1.221563	Val Loss: 1.168702	Val Acc: 56
Train Epoch: 1 [35840/49000 (73%)]	Train Loss: 1.184379	Val Loss: 1.310000	Val Acc: 55
Train Epoch: 1 [36480/49000 (74%)]	Train Loss: 1.234426	Val Loss: 1.242325	Val Acc: 56
Train Epoch: 1 [37120/49000 (76%)]	Train Loss: 1.229079	Val Loss: 1.201167	Val Acc: 58
Train Epoch: 1 [37760/49000 (77%)]	Train Loss: 1.309538	Val Loss: 1.249822	Val Acc: 57
Train Epoch: 1 [38400/49000 (78%)]	Train Loss: 1.374023	Val Loss: 1.403221	Val Acc: 52
Train Epoch: 1 [39040/49000 (80%)]	Train Loss: 1.428262	Val Loss: 1.209390	Val Acc: 62
Train Epoch: 1 [39680/49000 (81%)]	Train Loss: 1.110450	Val Loss: 1.313216	Val Acc: 52
Train Epoch: 1 [40320/49000 (82%)]	Train Loss: 1.253673	Val Loss: 1.278221	Val Acc: 53
Train Epoch: 1 [40960/49000 (84%)]	Train Loss: 1.168138	Val Loss: 1.378275	Val Acc: 55
Train Epoch: 1 [41600/49000 (85%)]	Train Loss: 1.142856	Val Loss: 1.265404	Val Acc: 56
Train Epoch: 1 [42240/49000 (86%)]	Train Loss: 1.450869	Val Loss: 1.322902	Val Acc: 54
Train Epoch: 1 [42880/49000 (87%)]	Train Loss: 0.987032	Val Loss: 1.182846	Val Acc: 61
Train Epoch: 1 [43520/49000 (89%)]	Train Loss: 1.174864	Val Loss: 1.314797	Val Acc: 53
Train Epoch: 1 [44160/49000 (90%)]	Train Loss: 1.204363	Val Loss: 1.228861	Val Acc: 58
Train Epoch: 1 [44800/49000 (91%)]	Train Loss: 1.110617	Val Loss: 1.276024	Val Acc: 57
Train Epoch: 1 [45440/49000 (93%)]	Train Loss: 1.081916	Val Loss: 1.316727	Val Acc: 54
Train Epoch: 1 [46080/49000 (94%)]	Train Loss: 1.059721	Val Loss: 1.296108	Val Acc: 57
Train Epoch: 1 [46720/49000 (95%)]	Train Loss: 1.344803	Val Loss: 1.244951	Val Acc: 57
Train Epoch: 1 [47360/49000 (97%)]	Train Loss: 1.023564	Val Loss: 1.247525	Val Acc: 58
Train Epoch: 1 [48000/49000 (98%)]	Train Loss: 1.296815	Val Loss: 1.206380	Val Acc: 56
Train Epoch: 1 [48640/49000 (99%)]	Train Loss: 1.253780	Val Loss: 1.185412	Val Acc: 58
Train Epoch: 2 [0/49000 (0%)]	Train Loss: 1.058040	Val Loss: 1.259343	Val Acc: 54
Train Epoch: 2 [640/49000 (1%)]	Train Loss: 1.102622	Val Loss: 1.294378	Val Acc: 55
Train Epoch: 2 [1280/49000 (3%)]	Train Loss: 1.313516	Val Loss: 1.288241	Val Acc: 57
Train Epoch: 2 [1920/49000 (4%)]	Train Loss: 1.124112	Val Loss: 1.338431	Val Acc: 52
Train Epoch: 2 [2560/49000 (5%)]	Train Loss: 1.004961	Val Loss: 1.272533	Val Acc: 54
Train Epoch: 2 [3200/49000 (7%)]	Train Loss: 1.133124	Val Loss: 1.242250	Val Acc: 58
Train Epoch: 2 [3840/49000 (8%)]	Train Loss: 1.209468	Val Loss: 1.219127	Val Acc: 56
Train Epoch: 2 [4480/49000 (9%)]	Train Loss: 1.315336	Val Loss: 1.376458	Val Acc: 52
Train Epoch: 2 [5120/49000 (10%)]	Train Loss: 1.049220	Val Loss: 1.276079	Val Acc: 59
Train Epoch: 2 [5760/49000 (12%)]	Train Loss: 0.777714	Val Loss: 1.327289	Val Acc: 51
Train Epoch: 2 [6400/49000 (13%)]	Train Loss: 1.320806	Val Loss: 1.301190	Val Acc: 56
Train Epoch: 2 [7040/49000 (14%)]	Train Loss: 1.150193	Val Loss: 1.298292	Val Acc: 57
Train Epoch: 2 [7680/49000 (16%)]	Train Loss: 1.111715	Val Loss: 1.283544	Val Acc: 54
Train Epoch: 2 [8320/49000 (17%)]	Train Loss: 1.146018	Val Loss: 1.212552	Val Acc: 55
Train Epoch: 2 [8960/49000 (18%)]	Train Loss: 1.216400	Val Loss: 1.335180	Val Acc: 54
Train Epoch: 2 [9600/49000 (20%)]	Train Loss: 1.172256	Val Loss: 1.295768	Val Acc: 52
Train Epoch: 2 [10240/49000 (21%)]	Train Loss: 1.026474	Val Loss: 1.279973	Val Acc: 50
Train Epoch: 2 [10880/49000 (22%)]	Train Loss: 0.884919	Val Loss: 1.303623	Val Acc: 55
Train Epoch: 2 [11520/49000 (23%)]	Train Loss: 1.190379	Val Loss: 1.193408	Val Acc: 60
Train Epoch: 2 [12160/49000 (25%)]	Train Loss: 1.234765	Val Loss: 1.284017	Val Acc: 54
Train Epoch: 2 [12800/49000 (26%)]	Train Loss: 1.150189	Val Loss: 1.216349	Val Acc: 57
Train Epoch: 2 [13440/49000 (27%)]	Train Loss: 1.257967	Val Loss: 1.255857	Val Acc: 56
Train Epoch: 2 [14080/49000 (29%)]	Train Loss: 1.148835	Val Loss: 1.144823	Val Acc: 58
Train Epoch: 2 [14720/49000 (30%)]	Train Loss: 1.178350	Val Loss: 1.223550	Val Acc: 60
Train Epoch: 2 [15360/49000 (31%)]	Train Loss: 0.971530	Val Loss: 1.208612	Val Acc: 57
Train Epoch: 2 [16000/49000 (33%)]	Train Loss: 1.421167	Val Loss: 1.318181	Val Acc: 55
Train Epoch: 2 [16640/49000 (34%)]	Train Loss: 1.243752	Val Loss: 1.312461	Val Acc: 56
Train Epoch: 2 [17280/49000 (35%)]	Train Loss: 1.142185	Val Loss: 1.375886	Val Acc: 55
Train Epoch: 2 [17920/49000 (37%)]	Train Loss: 1.185513	Val Loss: 1.295174	Val Acc: 55
Train Epoch: 2 [18560/49000 (38%)]	Train Loss: 1.190261	Val Loss: 1.159975	Val Acc: 57
Train Epoch: 2 [19200/49000 (39%)]	Train Loss: 1.271420	Val Loss: 1.211362	Val Acc: 55
Train Epoch: 2 [19840/49000 (40%)]	Train Loss: 1.246946	Val Loss: 1.192320	Val Acc: 57
Train Epoch: 2 [20480/49000 (42%)]	Train Loss: 1.266786	Val Loss: 1.181641	Val Acc: 58
Train Epoch: 2 [21120/49000 (43%)]	Train Loss: 0.992442	Val Loss: 1.182128	Val Acc: 60
Train Epoch: 2 [21760/49000 (44%)]	Train Loss: 0.917927	Val Loss: 1.271128	Val Acc: 57
Train Epoch: 2 [22400/49000 (46%)]	Train Loss: 1.129892	Val Loss: 1.264759	Val Acc: 55
Train Epoch: 2 [23040/49000 (47%)]	Train Loss: 0.977770	Val Loss: 1.229405	Val Acc: 56
Train Epoch: 2 [23680/49000 (48%)]	Train Loss: 1.160265	Val Loss: 1.241630	Val Acc: 56
Train Epoch: 2 [24320/49000 (50%)]	Train Loss: 1.138201	Val Loss: 1.257222	Val Acc: 56
Train Epoch: 2 [24960/49000 (51%)]	Train Loss: 1.277257	Val Loss: 1.139587	Val Acc: 62
Train Epoch: 2 [25600/49000 (52%)]	Train Loss: 0.996853	Val Loss: 1.276461	Val Acc: 54
Train Epoch: 2 [26240/49000 (54%)]	Train Loss: 1.284621	Val Loss: 1.244828	Val Acc: 56
Train Epoch: 2 [26880/49000 (55%)]	Train Loss: 1.260883	Val Loss: 1.331138	Val Acc: 55
Train Epoch: 2 [27520/49000 (56%)]	Train Loss: 1.494655	Val Loss: 1.080037	Val Acc: 62
Train Epoch: 2 [28160/49000 (57%)]	Train Loss: 1.069863	Val Loss: 1.218709	Val Acc: 57
Train Epoch: 2 [28800/49000 (59%)]	Train Loss: 1.184030	Val Loss: 1.236083	Val Acc: 58
Train Epoch: 2 [29440/49000 (60%)]	Train Loss: 1.167449	Val Loss: 1.169761	Val Acc: 58
Train Epoch: 2 [30080/49000 (61%)]	Train Loss: 1.122609	Val Loss: 1.159156	Val Acc: 56
Train Epoch: 2 [30720/49000 (63%)]	Train Loss: 1.182752	Val Loss: 1.136044	Val Acc: 58
Train Epoch: 2 [31360/49000 (64%)]	Train Loss: 0.912952	Val Loss: 1.298323	Val Acc: 58
Train Epoch: 2 [32000/49000 (65%)]	Train Loss: 1.028135	Val Loss: 1.246505	Val Acc: 59
Train Epoch: 2 [32640/49000 (67%)]	Train Loss: 0.946270	Val Loss: 1.320432	Val Acc: 56
Train Epoch: 2 [33280/49000 (68%)]	Train Loss: 1.345483	Val Loss: 1.254783	Val Acc: 57
Train Epoch: 2 [33920/49000 (69%)]	Train Loss: 1.088601	Val Loss: 1.208475	Val Acc: 60
Train Epoch: 2 [34560/49000 (70%)]	Train Loss: 1.034385	Val Loss: 1.279499	Val Acc: 55
Train Epoch: 2 [35200/49000 (72%)]	Train Loss: 1.010750	Val Loss: 1.165545	Val Acc: 62
Train Epoch: 2 [35840/49000 (73%)]	Train Loss: 1.084739	Val Loss: 1.238284	Val Acc: 54
Train Epoch: 2 [36480/49000 (74%)]	Train Loss: 1.263136	Val Loss: 1.355012	Val Acc: 57
Train Epoch: 2 [37120/49000 (76%)]	Train Loss: 1.132842	Val Loss: 1.127652	Val Acc: 58
Train Epoch: 2 [37760/49000 (77%)]	Train Loss: 1.074691	Val Loss: 1.226665	Val Acc: 56
Train Epoch: 2 [38400/49000 (78%)]	Train Loss: 1.127231	Val Loss: 1.173053	Val Acc: 62
Train Epoch: 2 [39040/49000 (80%)]	Train Loss: 1.507820	Val Loss: 1.330190	Val Acc: 53
Train Epoch: 2 [39680/49000 (81%)]	Train Loss: 1.173526	Val Loss: 1.272308	Val Acc: 59
Train Epoch: 2 [40320/49000 (82%)]	Train Loss: 0.990783	Val Loss: 1.145725	Val Acc: 59
Train Epoch: 2 [40960/49000 (84%)]	Train Loss: 1.056350	Val Loss: 1.121247	Val Acc: 62
Train Epoch: 2 [41600/49000 (85%)]	Train Loss: 0.952745	Val Loss: 1.286888	Val Acc: 56
Train Epoch: 2 [42240/49000 (86%)]	Train Loss: 1.159425	Val Loss: 1.288758	Val Acc: 54
Train Epoch: 2 [42880/49000 (87%)]	Train Loss: 1.092122	Val Loss: 1.136369	Val Acc: 61
Train Epoch: 2 [43520/49000 (89%)]	Train Loss: 1.167578	Val Loss: 1.283580	Val Acc: 56
Train Epoch: 2 [44160/49000 (90%)]	Train Loss: 1.288477	Val Loss: 1.188585	Val Acc: 60
Train Epoch: 2 [44800/49000 (91%)]	Train Loss: 1.071292	Val Loss: 1.224281	Val Acc: 55
Train Epoch: 2 [45440/49000 (93%)]	Train Loss: 1.252766	Val Loss: 1.196461	Val Acc: 59
Train Epoch: 2 [46080/49000 (94%)]	Train Loss: 1.107103	Val Loss: 1.256255	Val Acc: 55
Train Epoch: 2 [46720/49000 (95%)]	Train Loss: 1.239753	Val Loss: 1.159969	Val Acc: 59
